target_index,target_date,model_id,candidate_id,window_days,beta,alpha,poisson_deviance,mae,rmse
730,2007-10-05,B0,B0_UNIFORM,,,,0.79021765445842529,0.41040000000000015,0.50705029336348872
731,2007-10-06,B0,B0_UNIFORM,,,,0.7624917672360273,0.40500000000000003,0.48692915295759404
732,2007-10-07,B0,B0_UNIFORM,,,,0.84566942890322083,0.42119999999999996,0.54506880299646565
733,2007-10-08,B0,B0_UNIFORM,,,,0.81794354168082295,0.41580000000000011,0.52640288753007425
734,2007-10-09,B0,B0_UNIFORM,,,,0.84566942890322083,0.42120000000000013,0.54506880299646576
735,2007-10-10,B0,B0_UNIFORM,,,,0.82840850455611392,0.4158,0.54506880299646576
736,2007-10-11,B0,B0_UNIFORM,,,,0.7624917672360273,0.40500000000000008,0.48692915295759404
737,2007-10-12,B0,B0_UNIFORM,,,,0.73476588001362941,0.39959999999999984,0.46593991028886983
738,2007-10-13,B0,B0_UNIFORM,,,,0.7624917672360273,0.40500000000000008,0.48692915295759404
739,2007-10-14,B0,B0_UNIFORM,,,,0.8733953161256186,0.42659999999999998,0.56311632901204345
740,2007-10-15,B0,B0_UNIFORM,,,,0.85613439177851181,0.42120000000000002,0.56311632901204345
741,2007-10-16,B0,B0_UNIFORM,,,,0.7624917672360273,0.40500000000000003,0.48692915295759404
742,2007-10-17,B0,B0_UNIFORM,,,,0.84566942890322083,0.42120000000000013,0.54506880299646576
743,2007-10-18,B0,B0_UNIFORM,,,,0.82840850455611403,0.41580000000000006,0.54506880299646576
744,2007-10-19,B0,B0_UNIFORM,,,,0.73476588001362975,0.39960000000000007,0.46593991028886977
745,2007-10-20,B0,B0_UNIFORM,,,,0.76249176723602741,0.40500000000000008,0.48692915295759398
746,2007-10-21,B0,B0_UNIFORM,,,,0.80068261733371615,0.41040000000000004,0.52640288753007436
747,2007-10-22,B0,B0_UNIFORM,,,,0.77295673011131838,0.40500000000000008,0.50705029336348872
748,2007-10-23,B0,B0_UNIFORM,,,,0.79021765445842518,0.41039999999999993,0.50705029336348872
749,2007-10-24,B0,B0_UNIFORM,,,,0.81794354168082306,0.41580000000000011,0.52640288753007425
750,2007-10-25,B0,B0_UNIFORM,,,,0.79021765445842518,0.41039999999999999,0.50705029336348872
751,2007-10-26,B0,B0_UNIFORM,,,,0.73476588001362952,0.39960000000000007,0.46593991028886977
752,2007-10-27,B0,B0_UNIFORM,,,,0.79021765445842518,0.41039999999999999,0.50705029336348872
753,2007-10-28,B0,B0_UNIFORM,,,,0.85613439177851158,0.42119999999999996,0.56311632901204356
754,2007-10-29,B0,B0_UNIFORM,,,,0.9011212033480166,0.43200000000000005,0.5806031346797913
755,2007-10-30,B0,B0_UNIFORM,,,,0.81794354168082295,0.4158,0.52640288753007425
756,2007-10-31,B0,B0_UNIFORM,,,,0.82840850455611392,0.4158,0.54506880299646576
757,2007-11-01,B0,B0_UNIFORM,,,,0.81794354168082295,0.41580000000000006,0.52640288753007425
758,2007-11-02,B0,B0_UNIFORM,,,,0.70703999279123186,0.39420000000000011,0.44395945760846228
759,2007-11-03,B0,B0_UNIFORM,,,,0.79021765445842518,0.41039999999999999,0.50705029336348872
760,2007-11-04,B0,B0_UNIFORM,,,,0.73476588001362975,0.39960000000000007,0.46593991028886977
761,2007-11-05,B0,B0_UNIFORM,,,,0.84566942890322072,0.42120000000000002,0.54506880299646576
762,2007-11-06,B0,B0_UNIFORM,,,,0.79021765445842529,0.41040000000000004,0.50705029336348872
763,2007-11-07,B0,B0_UNIFORM,,,,0.79021765445842507,0.41039999999999993,0.50705029336348872
